iter	RMSE
0	0.9566458901
1	0.92087927
2	0.893099488
3	0.8659360405
4	0.8459906424
5	0.8294126365
6	0.8124553312
7	0.7973382464
8	0.7865280566
9	0.7767989054
10	0.7684967717
11	0.7597648166
12	0.7534756366
13	0.7478924237
14	0.7430314314
15	0.7363633645
16	0.7316242193
17	0.726367843
18	0.7232752962
19	0.7189201707
20	0.7160427697
21	0.7129202087
22	0.7099978098
23	0.7070724254
24	0.7056116924
25	0.7036013687
26	0.7004082569
27	0.6982377508
28	0.6969807301
29	0.6957243146
30	0.6937696768
31	0.6927173125
32	0.6910534471
33	0.6903631547
34	0.6879888025
35	0.6869492254
36	0.6855980185
37	0.6846052531
38	0.6834251909
39	0.6828486998
40	0.6818159097
41	0.6808219025
42	0.6791974217
43	0.6788707171
44	0.678281157
45	0.6775404568
46	0.6768331048
47	0.6759831035
48	0.6744859057
49	0.6737961762
50	0.6732503717
51	0.6729360065
52	0.6726076477
53	0.6721990199
54	0.6717611667
55	0.6712520237
56	0.6705284227
57	0.6695150757
58	0.6689639865
59	0.6685204919
60	0.6678426223
61	0.6670681097
62	0.6668039384
63	0.6665085622
64	0.6659303748
65	0.6655930001
66	0.664928438
67	0.6646481088
68	0.6642695401
69	0.663856563
70	0.6636721945
71	0.6634564901
72	0.6630322302
73	0.6629091159
74	0.6628087492
75	0.66265478
76	0.6624478835
77	0.6618807978
78	0.661271658
79	0.6604416435
80	0.6601397964
81	0.6600349412
82	0.6597149771
83	0.6596525339
84	0.6595080999
85	0.6588310075
86	0.6584004022
87	0.6581164369
88	0.6580059066
89	0.6575669202
90	0.6573444997
91	0.6572041791
92	0.6570695617
93	0.6568970533
94	0.6567739005
95	0.6566916475
96	0.6564234933
97	0.65635092
98	0.6561354745
99	0.6559918355
100	0.6557406051
101	0.6555369086
102	0.6552592967
103	0.6546576164
104	0.6546078595
105	0.6543365644
106	0.6538669255
107	0.6536115501
108	0.6534603084
109	0.6533415885
110	0.6531562898
111	0.6529397476
112	0.6527547238
113	0.6525322201
114	0.6523292663
115	0.6518447471
116	0.6516705551
117	0.6515152868
118	0.6514416048
119	0.6512709506
120	0.6510887562
121	0.6509588488
122	0.6508032343
123	0.650640053
124	0.6504262495
125	0.6503138949
126	0.6501138963
127	0.6499790609
128	0.6498546965
129	0.64971194
130	0.6495122648
131	0.6494775007
132	0.6493113746
133	0.6492194114
134	0.6490205691
135	0.6488800743
136	0.6485219418
137	0.6484217832
138	0.6482283806
139	0.6481040564
140	0.647891674
141	0.6474138323
142	0.6471347004
143	0.6469879149
144	0.6467922583
145	0.6466336657
146	0.646518235
147	0.6464430372
148	0.6461596103
149	0.6459880664
150	0.6458811502
151	0.6458018691
152	0.6455866081
153	0.6455203543
154	0.6454135673
155	0.6453050961
156	0.6451881966
157	0.645034726
158	0.6449482215
159	0.6447864299
160	0.6447456293
161	0.6445444355
162	0.6444533838
163	0.6442711737
164	0.6441600418
165	0.644097035
166	0.643962379
167	0.6438849338
168	0.6437437568
169	0.6434876021
170	0.6434158758
171	0.6432496933
172	0.6431413952
173	0.6430734234
174	0.6429722516
175	0.6428877682
176	0.642722946
177	0.6423887505
178	0.6422171912
179	0.6420102141
180	0.6419572933
181	0.6419220298
182	0.6417847447
183	0.6417221786
184	0.6416302732
185	0.6415066896
186	0.6413016145
187	0.6411770816
188	0.6411195337
189	0.6410131621
190	0.6409756122
191	0.6407496619
192	0.6405704228
193	0.6404019952
194	0.640379383
195	0.6402209803
196	0.6401043297
197	0.6399772293
198	0.6398582942
199	0.6398086962
200	0.6396785421
201	0.6395741893
202	0.6395192332
203	0.6394108363
204	0.6392874215
205	0.6391508601
206	0.6391282843
207	0.6390462875
208	0.6389835112
209	0.638940577
210	0.6388701134
211	0.6388365114
212	0.6387685052
213	0.6386023823
214	0.6385187309
215	0.6384626689
216	0.6383877186
217	0.6382210705
218	0.637999974
219	0.6379291425
220	0.6378887985
221	0.6377841361
222	0.6377501133
223	0.6376324858
224	0.6374955263
225	0.6374057913
226	0.6373487029
227	0.6373038063
228	0.6371478108
229	0.6370952386
230	0.6370317018
231	0.6369986131
232	0.6369486771
233	0.6367433872
234	0.6367250152
235	0.6366997755
236	0.6366719621
237	0.6365786779
238	0.6363518876
239	0.6363345679
240	0.6362434298
241	0.6360799097
242	0.6360566761
243	0.6360433495
244	0.6360287388
245	0.6359692052
246	0.6358897712
247	0.635824256
248	0.6357760896
249	0.635743754
250	0.6357208583
251	0.6356261728
252	0.6355165184
253	0.6354797658
254	0.6353993804
255	0.6351594641
256	0.6350476015
257	0.6348613192
258	0.6347935872
259	0.6347287753
260	0.6346930009
261	0.6346031266
262	0.6345308833
263	0.6344981703
264	0.6344459741
265	0.6342293452
266	0.6341284359
267	0.6340321441
268	0.6339736897
269	0.6338097617
270	0.6337525732
271	0.6336845196
272	0.6336561014
273	0.6334903236
274	0.6334657741
275	0.6334168818
276	0.6333626171
277	0.6333229543
278	0.6332612908
279	0.6332494341
280	0.6331593812
281	0.6331387592
282	0.6330599344
283	0.6330459148
284	0.6329344412
285	0.6328981063
286	0.6328383105
287	0.6327956256
288	0.6327507126
289	0.6326348114
290	0.6325829197
291	0.6325094115
292	0.6324951775
293	0.6324746415
294	0.6324529044
295	0.6324361694
296	0.6323716312
297	0.6323227909
298	0.6322649921
299	0.6322538304
300	0.6322187046
301	0.6322070358
302	0.6321301768
303	0.632109739
304	0.6320756305
305	0.6320421014
306	0.6319868743
307	0.6319367828
308	0.6318763695
309	0.6317399179
310	0.6316956592
311	0.6316809029
312	0.6316591928
313	0.6315230396
314	0.6314535868
315	0.6314278966
316	0.6313797894
317	0.6313703802
318	0.6312602659
319	0.6312417223
320	0.6310298056
321	0.6309686149
322	0.6309382651
323	0.6308348558
324	0.6307952304
325	0.6307171548
326	0.6306700886
327	0.6305595145
328	0.6305264279
329	0.6303908429
330	0.6303908083
331	0.6303575591
332	0.6303497232
333	0.6302546125
334	0.6302371933
335	0.6301629368
336	0.6301158202
337	0.6300978721
338	0.630062333
339	0.6300399217
340	0.6299965656
341	0.629979179
342	0.629936971
343	0.6298449694
344	0.6298141985
345	0.6298039139
346	0.6297939726
347	0.6297809168
