iter	Passed	Remaining
0	10	104571
1	18	94859
2	26	89566
3	35	88056
4	43	86613
5	51	86340
6	60	86519
7	71	89035
8	82	91459
9	92	92735
10	102	93348
11	112	93532
12	121	93142
13	130	93037
14	139	92528
15	147	92256
16	156	91914
17	165	91660
18	173	91311
19	182	91090
20	191	90803
21	200	90863
22	209	90673
23	221	91993
24	231	92309
25	245	94217
26	255	94554
27	266	94757
28	275	94709
29	284	94616
30	293	94385
31	302	94176
32	311	93962
33	318	93466
34	328	93453
35	336	93228
36	345	92998
37	353	92759
38	362	92663
39	370	92242
40	379	92118
41	388	92061
42	397	91986
43	404	91546
44	414	91690
45	424	91943
46	435	92127
47	448	92969
48	458	93067
49	467	92936
50	475	92805
51	484	92684
52	492	92461
53	501	92312
54	509	92192
55	518	92041
56	527	91992
57	536	92001
58	545	91857
59	554	91843
60	563	91780
61	573	91858
62	581	91663
63	590	91735
64	600	91736
65	611	91998
66	623	92440
67	635	92810
68	650	93643
69	661	93798
70	672	94073
71	682	94142
72	691	94056
73	700	94002
74	710	93972
75	718	93839
76	727	93783
77	736	93692
78	746	93747
79	756	93806
80	765	93786
81	774	93672
82	783	93630
83	791	93475
84	800	93352
85	809	93371
86	818	93243
87	830	93496
88	840	93546
89	853	93991
90	862	93955
91	871	93882
92	880	93770
93	888	93684
94	897	93554
95	904	93365
96	913	93307
97	922	93174
98	930	93082
99	938	92942
100	947	92835
101	955	92702
102	963	92608
103	972	92559
104	982	92567
105	994	92872
106	1009	93325
107	1021	93546
108	1037	94126
109	1052	94653
110	1076	95878
111	1095	96686
112	1111	97272
113	1130	98064
114	1147	98649
115	1168	99591
116	1185	100102
117	1197	100299
118	1206	100161
119	1214	100022
120	1224	99958
121	1233	99881
122	1244	99905
123	1255	100008
124	1264	99922
125	1273	99797
126	1282	99711
127	1291	99619
128	1301	99566
129	1310	99465
130	1318	99346
131	1326	99192
132	1335	99075
133	1343	98938
134	1352	98844
135	1361	98726
136	1370	98689
137	1379	98562
138	1388	98487
139	1396	98355
140	1405	98249
141	1414	98191
142	1423	98150
143	1432	98051
144	1444	98148
145	1455	98220
146	1464	98188
147	1478	98410
148	1494	98827
149	1514	99422
150	1530	99831
151	1544	100062
152	1560	100409
153	1575	100740
154	1594	101256
155	1612	101757
156	1636	102621
157	1657	103262
158	1677	103851
159	1693	104168
160	1709	104468
161	1727	104916
162	1747	105474
163	1760	105580
164	1773	105701
165	1783	105657
166	1794	105634
167	1806	105717
168	1818	105790
169	1829	105816
170	1840	105813
171	1849	105706
172	1860	105658
173	1870	105613
174	1881	105606
175	1893	105711
176	1907	105884
177	1918	105862
178	1929	105890
179	1940	105883
180	1949	105747
181	1957	105602
182	1966	105479
183	1975	105366
184	1984	105306
185	1997	105404
186	2010	105503
187	2024	105672
188	2040	105902
189	2055	106152
190	2073	106499
191	2093	106943
192	2115	107517
193	2138	108071
194	2157	108485
195	2176	108846
196	2190	109015
197	2207	109265
198	2221	109433
199	2237	109648
200	2253	109867
201	2265	109866
202	2277	109912
203	2288	109897
204	2299	109889
205	2312	109921
206	2320	109792
207	2329	109677
208	2378	111412
209	2406	112174
210	2417	112144
211	2425	111986
212	2434	111850
213	2443	111722
214	2451	111579
215	2459	111422
216	2468	111276
217	2477	111151
218	2491	111276
219	2507	111461
220	2523	111678
221	2541	111955
222	2558	112171
223	2574	112378
224	2597	112831
225	2613	113049
226	2633	113399
227	2650	113599
228	2665	113751
229	2680	113844
230	2691	113824
231	2707	113994
232	2722	114131
233	2738	114306
234	2756	114525
235	2769	114602
236	2783	114673
237	2795	114677
238	2806	114632
239	2818	114621
240	2828	114530
241	2837	114419
242	2846	114274
243	2853	114110
244	2862	113971
245	2870	113825
246	2879	113697
247	2888	113567
248	2896	113437
249	2905	113318
250	2917	113307
251	2930	113356
252	2943	113385
253	2953	113340
254	2964	113271
255	2973	113169
256	2983	113100
257	2992	112997
258	3000	112864
259	3009	112756
260	3018	112632
261	3027	112519
262	3036	112406
263	3044	112273
264	3053	112168
265	3062	112062
266	3071	111953
267	3079	111838
268	3088	111730
269	3097	111631
270	3106	111520
271	3118	111538
272	3129	111496
273	3178	112840
274	3211	113562
275	3255	114709
276	3325	116719
277	3357	117429
278	3399	118440
279	3428	119018
280	3454	119471
281	3492	120346
